x	c0	c1	c2	cf
-3.19	0	5.41E-05	0.059219	0.2
-3.18	0	5.82E-05	0.060039	0.2
-3.17	0	6.25E-05	0.060867	0.2
-3.16	0	6.72E-05	0.061704	0.2
-3.15	0	7.21E-05	0.06255	0.2
-3.14	0	7.75E-05	0.063404	0.2
-3.13	0	8.32E-05	0.064268	0.2
-3.12	0	8.92E-05	0.06514	0.2
-3.11	0	9.57E-05	0.066021	0.2
-3.1	0	0.00010269	0.066911	0.2
-3.09	0	0.0001101	0.06781	0.2
-3.08	0	0.00011802	0.068718	0.2
-3.07	0	0.00012646	0.069635	0.2
-3.06	0	0.00013547	0.070561	0.2
-3.05	0	0.00014508	0.071496	0.2
-3.04	0	0.00015533	0.072441	0.2
-3.03	0	0.00016625	0.073394	0.2
-3.02	0	0.00017789	0.074357	0.2
-3.01	0	0.00019028	0.075329	0.2
-3	0	0.00020348	0.076311	0.2
-2.99	0	0.00021752	0.077302	0.2
-2.98	0	0.00023247	0.078302	0.2
-2.97	0	0.00024838	0.079311	0.2
-2.96	0	0.00026529	0.08033	0.2
-2.95	0	0.00028327	0.081359	0.2
-2.94	0	0.00030238	0.082397	0.2
-2.93	0	0.00032269	0.083444	0.2
-2.92	0	0.00034426	0.084501	0.2
-2.91	0	0.00036716	0.085568	0.2
-2.9	0	0.00039147	0.086644	0.2
-2.89	0	0.00041727	0.08773	0.2
-2.88	0	0.00044463	0.088826	0.2
-2.87	0	0.00047366	0.089931	0.2
-2.86	0	0.00050443	0.091046	0.2
-2.85	0	0.00053704	0.092171	0.2
-2.84	0	0.00057159	0.093305	0.2
-2.83	0	0.00060818	0.09445	0.2
-2.82	0	0.00064694	0.095604	0.2
-2.81	0	0.00068795	0.096767	0.2
-2.8	0	0.00073136	0.097941	0.2
-2.79	0	0.00077727	0.099125	0.2
-2.78	0	0.00082583	0.10032	0.2
-2.77	0	0.00087717	0.10152	0.2
-2.76	0	0.00093142	0.10273	0.2
-2.75	0	0.00098875	0.10396	0.2
-2.74	0	0.0010493	0.10519	0.2
-2.73	0	0.0011132	0.10643	0.2
-2.72	0	0.0011807	0.10769	0.2
-2.71	0	0.0012519	0.10895	0.2
-2.7	0	0.001327	0.11022	0.2
-2.69	0	0.0014062	0.1115	0.2
-2.68	0	0.0014897	0.1128	0.2
-2.67	0	0.0015777	0.1141	0.2
-2.66	0	0.0016705	0.11541	0.2
-2.65	0	0.0017681	0.11673	0.2
-2.64	0	0.001871	0.11807	0.2
-2.63	0	0.0019792	0.11941	0.2
-2.62	0	0.0020931	0.12076	0.2
-2.61	0	0.0022129	0.12212	0.2
-2.6	0	0.0023389	0.12349	0.2
-2.59	0	0.0024713	0.12488	0.2
-2.58	0	0.0026105	0.12627	0.2
-2.57	0	0.0027567	0.12767	0.2
-2.56	0	0.0029103	0.12908	0.2
-2.55	0	0.0030716	0.1305	0.2
-2.54	0	0.0032409	0.13193	0.2
-2.53	0	0.0034185	0.13338	0.2
-2.52	0	0.0036048	0.13483	0.2
-2.51	0	0.0038002	0.13629	0.2
-2.5	0	0.004005	0.13776	0.2
-2.49	0	0.0042196	0.13924	0.2
-2.48	0	0.0044445	0.14073	0.2
-2.47	0	0.00468	0.14223	0.2
-2.46	0	0.0049266	0.14374	0.2
-2.45	0	0.0051847	0.14526	0.2
-2.44	0	0.0054547	0.14678	0.2
-2.43	0	0.0057372	0.14832	0.2
-2.42	0	0.0060326	0.14987	0.2
-2.41	0	0.0063414	0.15143	0.2
-2.4	0	0.0066642	0.15299	0.2
-2.39	0	0.0070013	0.15457	0.2
-2.38	0	0.0073534	0.15616	0.2
-2.37	0	0.0077211	0.15775	0.2
-2.36	0	0.0081048	0.15936	0.2
-2.35	0	0.0085051	0.16097	0.2
-2.34	0	0.0089228	0.16259	0.2
-2.33	0	0.0093582	0.16422	0.2
-2.32	0	0.0098122	0.16586	0.2
-2.31	0	0.010285	0.16751	0.2
-2.3	0	0.010778	0.16917	0.2
-2.29	0	0.011291	0.17084	0.2
-2.28	0	0.011826	0.17252	0.2
-2.27	0	0.012382	0.1742	0.2
-2.26	0	0.012961	0.1759	0.2
-2.25	0	0.013563	0.1776	0.2
-2.24	0	0.014189	0.17931	0.2
-2.23	0	0.014839	0.18103	0.2
-2.22	0	0.015515	0.18276	0.2
-2.21	0	0.016218	0.1845	0.2
-2.2	0	0.016947	0.18625	0.2
-2.19	0	0.017705	0.188	0.2
-2.18	0	0.018491	0.18976	0.2
-2.17	0	0.019306	0.19153	0.2
-2.16	0	0.020152	0.19331	0.2
-2.15	0	0.02103	0.1951	0.2
-2.14	0	0.021939	0.19689	0.2
-2.13	0	0.022881	0.1987	0.2
-2.12	0	0.023857	0.20051	0.2
-2.11	0	0.024868	0.20232	0.2
-2.1	0	0.025915	0.20415	0.2
-2.09	0	0.026998	0.20598	0.2
-2.08	0	0.028119	0.20782	0.2
-2.07	0	0.029278	0.20967	0.2
-2.06	0	0.030477	0.21153	0.2
-2.05	0	0.031716	0.21339	0.2
-2.04	0	0.032996	0.21526	0.2
-2.03	0	0.034319	0.21713	0.2
-2.02	0	0.035684	0.21902	0.2
-2.01	0	0.037095	0.22091	0.2
-2	0	0.03855	0.2228	0.2
-1.99	0	0.040051	0.22471	0.2
-1.98	0	0.0416	0.22661	0.2
-1.97	0	0.043197	0.22853	0.2
-1.96	0	0.044843	0.23045	0.2
-1.95	0	0.046539	0.23238	0.2
-1.94	0	0.048286	0.23431	0.2
-1.93	0	0.050086	0.23625	0.2
-1.92	0	0.051938	0.2382	0.2
-1.91	0	0.053844	0.24015	0.2
-1.9	0	0.055806	0.24211	0.2
-1.89	0	0.057823	0.24407	0.2
-1.88	0	0.059897	0.24604	0.2
-1.87	0	0.062029	0.24801	0.2
-1.86	0	0.06422	0.24999	0.2
-1.85	0	0.066471	0.25197	0.2
-1.84	0	0.068782	0.25395	0.2
-1.83	0	0.071154	0.25595	0.2
-1.82	0	0.073589	0.25794	0.2
-1.81	0	0.076087	0.25994	0.2
-1.8	0	0.078649	0.26195	0.2
-1.79	0	0.081276	0.26395	0.2
-1.78	0	0.083969	0.26597	0.2
-1.77	0	0.086728	0.26798	0.2
-1.76	0	0.089554	0.27	0.2
-1.75	0	0.092448	0.27203	0.2
-1.74	0	0.095411	0.27405	0.2
-1.73	0	0.098443	0.27608	0.2
-1.72	0	0.10155	0.27812	0.2
-1.71	0	0.10472	0.28015	0.2
-1.7	0	0.10796	0.28219	0.2
-1.69	0	0.11128	0.28423	0.2
-1.68	0	0.11466	0.28627	0.2
-1.67	0	0.11813	0.28832	0.2
-1.66	0	0.12166	0.29037	0.2
-1.65	0	0.12527	0.29242	0.2
-1.64	0	0.12895	0.29447	0.2
-1.63	0	0.1327	0.29652	0.2
-1.62	0	0.13653	0.29858	0.2
-1.61	0	0.14044	0.30063	0.2
-1.6	0	0.14442	0.30269	0.2
-1.59	0	0.14848	0.30475	0.2
-1.58	0	0.15261	0.30681	0.2
-1.57	0	0.15681	0.30887	0.2
-1.56	0	0.1611	0.31093	0.2
-1.55	0	0.16545	0.31299	0.2
-1.54	0	0.16989	0.31505	0.2
-1.53	0	0.1744	0.31711	0.2
-1.52	0	0.17898	0.31917	0.2
-1.51	0	0.18364	0.32123	0.2
-1.5	0	0.18837	0.32329	0.2
-1.49	0	0.19318	0.32535	0.2
-1.48	0	0.19807	0.3274	0.2
-1.47	0	0.20302	0.32946	0.2
-1.46	0	0.20805	0.33151	0.2
-1.45	0	0.21316	0.33357	0.2
-1.44	0	0.21833	0.33562	0.2
-1.43	0	0.22358	0.33767	0.2
-1.42	0	0.22889	0.33972	0.2
-1.41	0	0.23428	0.34176	0.2
-1.4	0	0.23974	0.34381	0.2
-1.39	0	0.24526	0.34585	0.2
-1.38	0	0.25086	0.34788	0.2
-1.37	0	0.25652	0.34992	0.2
-1.36	0	0.26224	0.35195	0.2
-1.35	0	0.26803	0.35398	0.2
-1.34	0	0.27389	0.356	0.2
-1.33	0	0.27981	0.35803	0.2
-1.32	0	0.28578	0.36004	0.2
-1.31	0	0.29182	0.36206	0.2
-1.3	0	0.29792	0.36406	0.2
-1.29	0	0.30407	0.36607	0.2
-1.28	0	0.31028	0.36807	0.2
-1.27	0	0.31655	0.37006	0.2
-1.26	0	0.32286	0.37205	0.2
-1.25	0	0.32923	0.37404	0.2
-1.24	0	0.33565	0.37601	0.2
-1.23	0	0.34212	0.37799	0.2
-1.22	0	0.34863	0.37996	0.2
-1.21	0	0.35519	0.38192	0.2
-1.2	0	0.36179	0.38387	0.2
-1.19	0	0.36843	0.38582	0.2
-1.18	0	0.37511	0.38776	0.2
-1.17	0	0.38183	0.3897	0.2
-1.16	0	0.38858	0.39162	0.2
-1.15	0	0.39537	0.39354	0.2
-1.14	0	0.40219	0.39546	0.2
-1.13	0	0.40904	0.39736	0.2
-1.12	0	0.41591	0.39926	0.2
-1.11	0	0.42281	0.40115	0.2
-1.1	0	0.42974	0.40303	0.2
-1.09	0	0.43669	0.40491	0.2
-1.08	0	0.44365	0.40677	0.2
-1.07	0	0.45063	0.40862	0.2
-1.06	0	0.45763	0.41047	0.2
-1.05	0	0.46464	0.41231	0.2
-1.04	0	0.47166	0.41414	0.2
-1.03	0	0.47869	0.41596	0.2
-1.02	0	0.48572	0.41776	0.2
-1.01	0	0.49276	0.41956	0.2
-1	1	0.4998	0.42135	0.2
-0.99	1	0.50683	0.42313	0.2
-0.98	1	0.51387	0.4249	0.2
-0.97	1	0.5209	0.42665	0.2
-0.96	1	0.52792	0.4284	0.2
-0.95	1	0.53493	0.43013	0.2
-0.94	1	0.54193	0.43186	0.2
-0.93	1	0.54892	0.43357	0.2
-0.92	1	0.55589	0.43527	0.2
-0.91	1	0.56284	0.43696	0.2
-0.9	1	0.56977	0.43863	0.2
-0.89	1	0.57667	0.4403	0.2
-0.88	1	0.58355	0.44195	0.2
-0.87	1	0.59041	0.44358	0.2
-0.86	1	0.59723	0.44521	0.2
-0.85	1	0.60402	0.44682	0.2
-0.84	1	0.61078	0.44842	0.2
-0.83	1	0.6175	0.45001	0.2
-0.82	1	0.62419	0.45158	0.2
-0.81	1	0.63083	0.45314	0.2
-0.8	1	0.63743	0.45469	0.2
-0.79	1	0.64399	0.45622	0.2
-0.78	1	0.6505	0.45773	0.2
-0.77	1	0.65697	0.45924	0.2
-0.76	1	0.66338	0.46072	0.2
-0.75	1	0.66975	0.4622	0.2
-0.74	1	0.67606	0.46365	0.2
